Thesen,ÖDP,FRAUENLISTE,DIE FREIHEIT,FDP,DIE FRANKEN,SPD,REP,NPD,CSU,BP,FREIE WÄHLER,PIRATEN,BüSo,DIE LINKE,GRÜNE
Das Land soll weiterhin Kulturprojekte von Migrantinnen und Migranten fördern.,1,1,0,1,0,1,-1,-1,1,0,1,1,1,1,1
Auch in Bayern soll nach Endlagerstätten für Atommüll gesucht werden.,-1,0,1,-1,-1,-1,0,1,-1,0,1,1,-1,1,1
Der Bau von Minaretten soll verboten werden.,-1,-1,1,-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1
Die Stromsteuer soll gesenkt werden.,-1,1,1,1,1,1,1,1,0,1,1,-1,1,1,-1
"Polizisten und Polizistinnen sollen bei Großeinsätzen eine gut lesbare, individuelle Kennung tragen müssen.",-1,1,0,1,1,1,-1,-1,-1,1,0,1,1,1,1
Die dritte Startbahn am Münchener Flughafen soll gebaut werden.,-1,-1,1,1,-1,-1,0,-1,0,-1,-1,-1,1,-1,-1
Deutsche sollen bei der Vergabe von Sozialwohnungen bevorzugt werden.,-1,-1,1,-1,0,-1,1,1,-1,0,-1,-1,-1,-1,-1
Abbau der Verflechtung von Kirche und Staat in Bayern!,-1,1,1,1,1,0,1,1,-1,-1,-1,1,1,1,1
"Das Land soll sich dafür einsetzen, dass die Vermögensteuer wieder erhoben wird.",1,1,-1,-1,-1,1,-1,1,-1,-1,-1,0,-1,1,0
Autofahrer aus dem Ausland sollen für die Nutzung deutscher Autobahnen bezahlen.,-1,1,1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1
Keine Solaranlagen auf landwirtschaftlichen Flächen!,0,1,1,1,-1,-1,1,1,-1,-1,1,0,1,1,-1
Asylbewerber und Asylbewerberinnen sollen eine uneingeschränkte Arbeitserlaubnis erhalten.,-1,-1,-1,1,-1,1,-1,-1,-1,0,-1,1,-1,1,1
"Das dreigliedrige Schulsystem (Mittelschule, Realschule, Gymnasium) soll erhalten bleiben.",1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1
Abgabe von Entscheidungsbefugnissen an die Europäische Union nur durch Volksentscheid!,1,0,1,-1,1,1,1,1,1,1,1,-1,1,0,-1
In Bayern sollen Geschäfte an Werktagen länger geöffnet haben dürfen.,-1,-1,1,1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1
Der Einsatz von Schneekanonen soll in den bayerischen Skigebieten verboten werden.,1,0,-1,-1,-1,0,0,1,-1,-1,-1,1,-1,1,0
Alle Kinder sollen ungeachtet ihres kulturellen Hintergrundes gemeinsam unterrichtet werden.,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1
